mode,entry_gate,exit_gate,volume,n_od_pairs
1,120,93,191.74824901344255,294
1,76,22,191.70162375833024,5849
1,107,98,191.1380930087762,3385
2,112,123,190.81728101102635,9548
1,114,132,189.55143704038346,596
1,146,0,188.662343604301,218
2,9,105,188.23537476564525,20437
2,111,91,187.39165594190126,9708
1,27,96,187.07990714500193,505
2,80,10,186.55699976912,18361
2,14,28,186.40428116671683,85080
2,53,13,185.8582809366053,1953
1,80,28,185.2710314990254,1069
1,119,95,184.72299948893487,256
3,18,105,182.02043798044906,33126
1,76,82,181.65909483053838,732
1,113,151,181.02712521961075,3061
2,19,105,180.79578176498762,5262
3,80,72,179.2009687833488,12678
6,80,28,178.8756238585338,340
1,120,109,178.49571924826887,7939
1,112,103,177.8832808637526,1956
2,14,105,177.60912480324623,47584
1,115,102,177.2860620560823,839
2,135,104,176.46228298300412,4799
1,136,128,176.11928132316098,481
4,139,152,175.71062480425462,2292
4,144,100,175.70406102429843,4865
1,86,109,175.55653082198114,8129
1,112,130,175.20893729990348,4941
6,9,105,174.73406149819493,95
1,79,11,173.35021888354095,4265
4,14,105,172.27937397442292,13642
1,113,132,170.95312466214818,1128
1,112,82,170.94140595197678,3645
1,119,58,170.2834685659036,1159
1,79,90,169.76600125746336,986
1,27,100,169.72340626898222,888
6,14,105,169.4159375258605,1132
1,76,58,169.18146753578912,595
2,139,171,168.01062485628063,2984
1,134,102,167.9275622467976,243
2,139,132,167.70615596006974,8009
2,68,13,166.99468689132482,4418
1,0,90,166.82449999112578,956
4,135,100,166.3899997304543,1958
1,86,100,165.3409057726676,658
1,53,10,165.0698122966569,6661
1,107,99,163.57993720984086,2408
4,64,43,163.06156170740724,4562
1,107,151,162.06559364619898,5919
4,80,22,161.57999894808745,6950
1,116,96,161.2409066906548,803
3,139,152,160.36606271238998,3283
1,51,11,160.10809363756562,532
1,113,104,158.1705311887199,3493
2,79,110,158.09440612007165,4468
3,79,110,157.76815641502617,8201
1,75,102,157.50896786683006,506
4,80,13,156.92624927777797,3820
4,80,11,156.03812462743372,4792
6,80,13,155.65749849006534,87
1,138,128,155.50406301718613,4092
1,139,103,155.22290663732565,7080
1,139,98,153.5296250130632,1938
1,112,161,153.47706184349954,3589
1,114,92,153.04303105795407,2510
1,142,133,152.49231250108278,12563
1,176,159,152.19962348847184,207
1,27,102,152.1122495259624,791
2,64,42,152.10771869728342,4303
2,134,100,152.09056252450682,1941
6,80,11,151.38000087626278,240
1,107,92,150.59518684307113,3905
1,114,153,150.27828123453946,9898
4,14,63,150.04218697844772,24264
2,112,100,149.68350016744807,12255
2,137,141,149.66281275299843,758
4,134,100,149.23874966386938,1632
1,107,103,149.15334365854505,1404
1,117,98,148.4428134880145,1308
2,0,164,146.73309461364988,205
1,80,71,146.30590584676247,1368
4,50,11,146.2596870912239,3049
1,27,101,145.65612506959587,577
2,139,0,145.48768819223915,544
2,138,131,145.33884321655205,8774
2,112,95,145.2129679758218,981
1,79,63,143.23009326588362,373
1,80,13,143.19112502381904,5470
1,75,151,143.09478112672514,13555
3,80,11,141.75200001057237,28959
1,86,82,141.64765604393324,419
4,76,100,140.74062462087022,11889
2,12,105,140.48249974031933,15020
1,73,132,140.34096848836634,1165
1,86,102,140.09174977161456,365
3,14,57,139.86937456925807,185355
1,118,104,139.83437485032482,9284
1,14,81,139.4166251293791,8473
1,73,130,139.15559361304622,1121
1,139,90,138.85471756017068,10770
4,77,100,138.4609369574464,1158
1,115,90,138.19303127969033,2325
1,80,38,138.02278180490248,522
1,73,151,137.62403138709487,1619
1,156,141,137.409000388172,2431
1,73,141,137.36393813049654,1719
3,120,110,137.2558754595957,12509
1,119,109,137.1256869546196,1277
1,79,96,136.69240609899862,1853
2,60,63,136.60621902467392,19899
1,75,128,136.24018836964387,414
6,80,58,136.1640627430752,65
1,113,130,136.0625621629879,552
5,114,99,135.74875079916092,3114
1,107,130,135.49162528116722,3616
1,83,109,135.34071833365306,14603
1,33,96,135.0375938458601,725
1,77,102,134.53372088982724,137
6,27,105,134.4512496041134,70
1,77,109,134.07050056139997,1765
2,108,131,133.92018836300122,4037
4,114,141,133.916561585851,4927
1,79,100,133.3936558996793,2877
1,172,0,132.92018553748494,531
1,139,162,131.6283121586457,3206
1,115,100,131.15234422520734,1042
2,0,104,131.13890513998922,611
2,108,0,130.45677803238505,776
1,113,0,130.45259502058616,220
4,114,131,130.3731252970174,1541
1,112,71,130.36224980605766,3189
1,142,0,130.09915584455302,1022
3,108,95,129.57721856317949,8638
2,79,28,129.50403363449732,214
1,136,0,129.2828108879039,149
1,119,92,128.526812389493,175
1,134,109,128.46415580963367,12571
1,33,100,127.79484285460785,1295
1,145,141,127.67793717456516,643
1,115,131,127.27284401125507,1159
1,134,93,126.48909371318587,3264
1,116,100,126.17174958926626,1473
1,76,102,125.84096858132398,385
1,108,101,125.45190622162772,488
1,79,101,125.2183747702511,2328
2,27,81,125.19390674552415,1347
2,76,109,124.78325011533161,5180
1,79,102,124.70181283226702,2826
2,77,100,124.45256264944328,1366
6,18,105,124.4290617982042,515
1,116,101,123.4647818111116,1120
1,134,123,123.20703143684659,1582
1,75,101,121.58596840981045,14124
4,80,38,121.51906361524016,775
1,79,10,121.18556227436056,2246
2,119,110,120.90124995203223,12930
1,112,148,120.63818701403216,6887
1,75,133,119.91434379509883,11762
2,111,81,119.89784403864178,5446
1,76,100,119.85428127326304,474
1,73,171,119.60868708527414,914
3,116,110,119.54812521408894,6652
1,9,91,119.29149986366974,550
1,33,102,119.02053143730154,1204
2,80,63,118.73053130530752,3449
4,14,28,118.5534366532811,33225
1,134,97,118.07215611240827,1123
1,77,128,117.17631302168593,148
1,113,153,117.11387488343462,9722
1,139,151,117.07662425050512,93
1,51,63,116.62293759279419,1086
1,139,104,116.3325924128294,12652
4,64,32,116.30812475457788,1938
1,136,100,115.99731249202159,2397
1,114,161,115.55193675585906,500
4,39,105,115.03937479387969,812
2,76,100,114.80399996334745,23646
1,86,22,113.15134246478556,3215
3,111,123,112.80712527982541,11767
1,27,91,112.76559367880691,384
1,86,128,112.73840538354125,239
4,139,132,112.18718725664075,4830
3,80,22,111.99212547476054,18864
1,114,11,111.94634382688673,8439
1,135,171,111.75459354979102,988
1,12,42,111.55043731722981,1456
4,112,100,110.12749937362969,3984
3,176,171,110.08515672048088,1329
1,20,10,109.39706258429214,2158
2,114,128,109.33090635074768,1443
2,135,128,109.11037499114173,360
1,135,0,108.89434311627701,292
4,68,13,108.55062490794808,2011
4,112,123,108.47812468092889,3143
5,0,104,108.24249956954736,91
1,114,122,108.22696718935913,883
1,136,171,108.2150301146321,184
5,107,0,108.02875048917485,138
3,80,58,107.08884369337466,12129
2,111,82,106.86718757725612,3270
1,112,22,106.53059368010145,2728
1,88,82,106.19162498382502,834
2,79,58,105.90075038047507,1057
1,117,131,105.67509332956979,405
3,114,110,105.11528176043066,18230
1,139,159,104.77581228292547,772
1,0,160,104.56049882435764,240
3,12,105,104.22259371497785,14093
1,156,131,103.62228131289885,2829
1,120,95,103.4275935968617,344
1,113,103,103.4185301065445,39
1,75,0,103.35565636967658,765
4,108,95,102.94999965559691,2337
4,108,123,102.71374938898953,1987
1,134,95,102.25006260155351,1214
3,111,100,102.1224068346637,19131
1,107,161,101.97034382831771,2447
2,60,28,101.57884368399391,3351
4,150,141,101.52843759674579,1990
2,135,100,101.29671874392079,2214
2,114,153,101.25509377327398,9812
2,114,141,101.19549977063434,6891
3,144,100,101.18387526848528,17003
1,120,22,101.17315615341067,17653
1,114,63,100.85259338155447,2052
3,68,11,100.52034390176414,16290
1,117,97,100.43109384711715,720
1,83,93,99.84715588054678,2639
1,120,125,99.06746956333518,142
1,75,132,98.87315603248135,3652
1,118,109,98.2188749704219,6491
1,73,90,98.14143715542741,1488
1,117,109,97.9572192151245,6380
1,73,98,97.91578125953674,45
1,76,128,97.81971864250954,252
1,139,99,97.81881260446971,1212
1,75,131,97.70734379609348,621
2,136,131,97.60465647099772,2246
4,79,58,97.4218746908009,862
4,138,131,97.33843685308238,5216
1,20,13,97.13550004846184,2387
1,0,166,96.68890720780473,491
1,14,96,95.90753109648358,204
1,116,91,95.72628125239862,411
2,76,123,95.68918738921639,1105
1,0,141,95.56368748610839,246
3,156,164,95.3641872961307,1269
3,150,141,95.14359353348846,3079
2,119,90,94.97237522539217,2281
3,80,13,94.56084371340694,15570
2,112,0,94.52550029702252,968
4,64,81,94.4584377091378,798
1,86,96,94.34062470495701,97
2,135,110,93.81174987026316,7356
1,75,141,93.78781273611821,1147
2,138,141,93.73443724171375,4395
1,107,171,93.66274942085147,1578
1,119,125,93.65728096087696,504
3,108,152,93.42259345171624,5327
1,135,132,93.18062533001648,822
4,114,153,93.17968690674752,7242
1,108,96,93.05646866094321,186
1,117,95,92.79681284022809,788
1,137,100,92.76734388958721,1434
2,51,11,92.4954995700391,535
1,107,148,92.39128080866067,4737
4,9,31,92.31968727800995,1350
4,20,13,92.20187503565103,905
5,114,141,91.65812435280532,3106
2,76,104,91.57656254671747,6398
1,118,90,91.41600009831018,2206
4,80,28,91.37718770094216,1845
4,27,81,90.86062492243946,1089
3,134,100,90.6665625860769,3185
1,0,100,90.47234364785254,132
1,14,102,90.43650078913197,377
3,64,32,90.10753128229408,8543
1,119,11,89.94168753782287,3189
1,116,93,89.5800932662678,616
3,86,109,89.50171910249628,6768
1,79,93,88.676562498149,1654
1,134,82,88.6583751070284,2785
5,144,100,88.3559368578135,2546
2,112,131,88.18446865247097,6165
3,68,10,87.91531259805197,17026
2,88,110,87.84090618086339,7787
1,136,103,87.79849992526579,8790
2,86,109,87.26900032907724,3719
4,64,42,87.06343783717602,1109
4,76,109,87.00125016935635,2217
4,135,128,86.83156211301684,320
2,114,131,86.76800006977282,2223
1,116,102,86.74443754559616,1147
1,114,10,86.49340641859453,5254
1,79,13,86.48071885592071,1958
4,60,63,86.47031220945064,10565
1,121,90,86.29015626898035,3203
1,114,133,86.16896900623397,626
1,75,82,86.1400934119738,434
1,114,93,85.99624986533308,1519
3,135,109,85.80737324047368,5742
1,77,141,85.46118745120475,494
4,80,10,85.39593681879342,3270
1,114,148,85.1724688422546,935
5,139,152,85.16406227863627,1437
1,139,168,85.14134393172571,1262
1,83,95,84.76862521517614,1351
2,112,102,84.69631248735823,5851
1,73,161,84.42534308729228,761
2,9,41,84.3383440002799,232
2,80,13,84.21962486836128,12387
3,76,109,84.13909410359338,6816
4,114,128,83.78281249292195,1077
1,113,82,83.70849968213588,255
2,144,100,83.69046907946176,6522
1,114,13,83.60428115306422,6520
4,108,131,83.53812484629452,1900
1,117,82,83.4434998556826,2037
1,134,58,83.31065614178078,2285
4,33,105,83.05781223811209,589
1,113,95,82.90968736633658,72
1,115,132,82.88312515529105,482
1,115,96,82.85731244087219,83
1,135,58,82.40984372707317,1567
2,39,105,82.35728140576975,1240
1,86,58,82.32556224934524,450
2,53,10,82.27843753772322,4945
1,86,141,82.20774991367944,812
1,113,133,81.82650016357366,2036
3,114,99,81.53768770725583,4694
1,115,109,81.27906265680213,1181
6,114,99,81.22499954793602,87
2,0,110,80.49890633605537,1383
2,139,148,80.11321871753898,1911
1,115,103,80.02731189504266,80
2,76,82,79.77734434179729,705
2,79,90,79.41740628646221,565
2,20,11,79.3122812252841,3989
4,120,109,79.30624934390653,2064
1,88,101,79.04993705544621,602
1,117,58,78.86640623386484,1859
4,134,98,78.56312502792571,2056
2,112,122,78.52837486931821,2239
4,135,98,78.48500003293157,1728
1,88,100,78.33728095029073,904
1,77,131,78.1096872665803,274
1,107,122,77.93659349548398,722
1,135,97,77.91734384570736,690
4,137,141,77.61562537698774,644
3,114,141,76.98412486707093,6420
1,9,131,76.82099985866807,1088
2,139,133,76.75412491580937,1382
3,88,110,76.59118762277649,6166
1,135,82,76.0750934251846,1651
4,76,123,75.49625028599985,724
3,111,82,74.9941878766549,6569
1,113,100,74.87081128907448,478
1,136,98,74.71175002587552,2067
2,50,10,74.68315604777308,4369
3,108,123,74.45937527414935,5710
3,139,132,73.8900314795901,2887
5,135,104,73.8587505617179,967
2,108,123,73.80553121399134,4165
4,176,0,73.62750162836164,150
3,64,25,73.18874989886535,4827
4,113,131,73.16156237293035,1080
1,135,93,73.1165000716137,1403
1,80,23,73.08915650844574,1881
1,119,22,72.65193768344761,2567
2,86,104,72.45831278670812,5786
4,119,110,72.30218675296055,3370
1,76,123,72.14746847748756,43
4,51,63,72.07968750345754,911
1,135,109,72.06596852233633,4387
3,114,153,71.96496874641161,11940
3,108,101,71.88578125786444,5727
2,64,31,71.84840674186125,1597
4,108,101,71.84093737148214,2079
2,64,81,71.51853128173389,1623
1,119,63,71.4704062428209,397
1,76,81,71.39003207130008,1327
1,119,10,71.29015619115671,1731
1,73,104,71.1297501513036,1428
1,112,58,71.10981501545757,81
1,115,98,71.07878136634827,114
2,113,101,70.84428114337788,829
3,86,110,70.75018774234923,4472
1,108,100,70.71809377870522,437
1,113,148,70.40206216131628,1589
4,119,95,70.3025003420189,189
1,27,128,70.27968760341173,521
1,117,99,70.06221817454207,208
1,118,82,70.0547184808529,983
1,115,151,70.01049997065275,792
1,156,90,69.96206266019726,2478
4,112,131,69.92624980490655,2293
2,116,91,69.84468720684526,392
6,80,38,69.75405812263489,4
1,83,82,69.53731252768193,2299
1,117,123,69.46281202172395,392
1,0,133,69.3710295187193,32
2,80,38,69.00459431257332,952
4,9,41,68.99281243234873,135
2,112,91,68.88859330792911,472
1,0,131,68.72762499151577,406
2,114,0,68.72012477717362,207
4,9,25,68.51249994896352,665
1,53,13,68.41371947317384,2287
1,9,93,68.38109378586523,576
6,39,105,68.30405831336975,4
1,114,125,68.08121851889882,825
1,14,41,68.08112519909628,542
4,114,95,67.82124983816175,2326
1,83,90,67.77328135448624,2249
1,112,133,67.7684687214205,3175
1,75,109,67.50837525872339,2432
1,108,102,67.31715544691542,384
4,119,90,67.30468724784441,1727
1,33,91,67.25915647286456,420
4,176,171,66.96374964248389,1009
2,108,101,66.9615313893446,5061
1,18,81,66.9158121750952,914
4,119,109,66.90656268363819,799
5,156,164,66.88375054858625,434
1,119,13,66.8776248942595,2286
5,176,171,66.77000014577061,546
1,142,132,66.63565615849802,970
1,33,101,66.62024985149037,588
1,120,126,66.51925002876669,289
5,134,100,66.51187457703054,1310
1,117,93,66.29406225391722,1438
3,120,109,66.2320002647757,6781
1,108,128,66.08828063827241,283
4,12,105,66.04937462793896,2343
1,120,110,65.99300015970948,7699
2,118,95,65.9575630259933,75
3,77,100,65.80331243132241,1758
4,73,131,65.80281238164753,1415
2,134,103,65.66400002744922,2154
1,115,82,65.64528127014637,379
1,116,128,65.63787500787294,862
4,86,109,65.61187514028279,1613
1,135,11,65.23550010914914,3411
1,113,161,65.18824997110642,515
1,0,98,65.07303130188666,105
4,144,98,64.98718683666084,2624
1,135,123,64.94434397720033,618
5,107,131,64.70625005941838,641
1,120,82,64.70381272655504,563
6,80,22,64.69531231274595,144
4,138,141,64.63531197659904,2621
1,73,148,64.61653116618982,1656
2,119,82,64.5859374658321,1747
2,86,82,64.34181420900859,398
1,76,141,64.27306232857518,808
4,79,63,64.26218766253442,268
4,108,100,63.92093716078671,2791
1,113,109,63.73746923357248,96
1,145,131,63.48915712861344,116
4,135,99,63.34156223316677,1668
4,108,122,63.214999611955136,1120
1,27,131,63.06774991186103,550
2,134,98,63.048718770660344,2729
1,117,11,63.032406347221695,4057
1,115,104,63.01065615413245,3745
1,9,132,62.66084364260314,703
1,115,0,62.627624181768624,71
5,139,132,62.61906231404282,3465
2,114,95,62.5129999617202,2937
2,77,102,62.49590615427587,392
1,175,164,62.413562560337596,202
3,111,91,62.40528129815357,4012
1,134,22,62.38465615990572,20265
1,64,81,61.969374359352514,99
2,73,131,61.93040629697498,1690
2,76,22,61.783436978643294,5227
1,79,28,61.63043756521074,300
2,156,141,61.61003129702294,1828
3,146,141,61.1076248883619,4664
2,120,90,61.10737514075299,2473
1,76,90,60.75228139141109,749
1,9,81,60.73143757798243,200
2,88,90,60.53599989028589,785
3,137,141,60.52643739816267,740
1,0,99,60.52481249108678,150
2,116,95,60.51937539607752,335
1,73,133,60.50850016938057,792
1,108,93,60.47759379923809,182
1,79,128,60.31909390515648,2071
1,135,95,60.25931247520202,576
2,108,91,60.15596889122389,2868
1,165,131,60.11096892012574,2148
1,150,100,60.00575001724064,430
1,14,153,59.99931225841283,35506
1,137,98,59.89350023503357,1123
4,111,91,59.62218713760376,2162
3,176,0,59.520343853975646,197
4,111,82,59.45656219817465,1766
4,134,109,59.41875011398224,2458
3,0,109,59.2362827869656,716
1,83,22,59.09624993495527,18802
1,86,131,59.04943785024807,304
1,14,91,58.990531156770885,180
1,83,58,58.88268736505415,1278
1,135,162,58.841656262855395,1499
4,139,148,58.758437152951956,1133
1,139,161,58.743812452521524,436
3,135,110,58.72499999811407,7589
1,88,11,58.683312535926234,2659
1,115,130,58.42774998478126,284
1,136,90,58.348624971389654,7875
1,30,11,58.25284371979069,1450
6,80,72,58.226561937481165,77
2,114,110,58.21737497107824,15406
1,79,131,58.198468611284625,2116
5,135,128,58.16781309153885,277
1,27,141,58.03081247478258,1271
2,108,84,57.95153094554553,2200
1,145,100,57.92231250973418,162
4,83,109,57.921249972016085,2791
1,76,71,57.88671862985939,912
1,136,99,57.84312485353439,1887
3,111,95,57.74624992744066,5362
1,117,151,57.62843794521177,160
4,77,109,57.591562361165415,843
1,121,97,57.57781286817044,67
3,114,128,57.449000051419716,1390
1,108,141,57.239656356861815,944
4,9,81,57.16624984610826,1175
4,51,105,57.10281213000417,264
2,113,102,57.055687314947136,683
1,14,133,56.979343077298836,13250
4,113,141,56.86718713399023,2337
1,116,90,56.67324968485627,149
4,9,90,56.64968735259026,795
2,119,109,56.51393770298455,1452
1,137,103,56.2970936527563,3852
2,146,0,55.99568765806907,164
1,9,141,55.96728092292324,1586
1,88,102,55.96546899917303,303
1,14,105,55.875656232383335,15106
3,138,131,55.647343792225,6164
2,76,84,55.61321832999238,398
1,113,58,55.570343885570765,292
3,114,152,55.53387503810518,2127
1,134,122,55.47084421251202,211
2,9,31,55.321124955196865,3055
5,114,153,55.21906235435745,5315
1,138,100,54.94656261490309,537
3,80,10,54.894281262357254,13057
1,165,141,54.808593810521415,1238
1,75,58,54.65321881062118,334
3,76,110,54.62693747830053,4147
6,64,32,54.51093704998493,23
1,118,95,54.49681271612644,78
6,114,141,54.429374884814024,150
2,18,81,54.36512489814777,1576
4,20,11,54.06687513273209,1360
2,14,29,53.994437599903904,2138
1,76,131,53.96628089743899,340
5,172,0,53.92624913423788,129
3,108,128,53.87837484339252,4230
1,117,13,53.813125089451205,3240
1,79,38,53.71706200763583,79
1,134,125,53.59546875684464,688
1,136,22,53.51746858257684,18645
4,114,109,53.15218764921883,3744
6,80,10,53.12437516544014,114
5,0,166,53.0875003435649,131
1,135,133,53.015750204911456,88
2,53,28,52.92312487802701,927
1,117,10,52.922281371138524,2681
2,114,90,52.87090616161004,5740
1,121,104,52.78453124046791,3115
2,113,128,52.75099997903453,1163
1,112,159,52.745562394091394,1495
1,135,10,52.707499943033326,2266
4,136,131,52.67499961174326,1446
2,73,0,52.582437280914746,165
4,80,41,52.499062394723296,220
4,135,109,52.17281243484467,1489
1,107,133,52.15468748571584,2310
1,135,160,52.124999912426574,5018
2,117,98,52.00337510458485,1509
1,88,96,51.45800021663308,90
1,108,95,51.420624481514096,102
1,9,128,51.40521847701166,980
4,113,101,51.35156243701931,665
4,113,128,51.311874970793724,828
1,144,98,51.182062591193244,4324
3,108,153,50.998906334119965,9387
2,73,128,50.80709367361851,542
1,119,101,50.799030939961085,131
1,14,151,50.63624998445448,13741
1,137,99,50.540343755856156,1253
3,0,164,50.45543813984841,195
1,134,92,50.41375010664342,727
2,135,98,50.19984367018333,1964
1,88,22,50.14787513289775,1511
2,0,141,50.06121890124632,244
1,86,11,50.025906280148774,1854
2,14,41,49.999625216645654,531
1,88,128,49.98240677115973,220
4,79,110,49.95249977521598,1702
5,64,42,49.78937443252653,2586
1,114,71,49.74134390975814,1764
3,114,109,49.65403145995515,9201
1,117,122,49.55596836237237,88
1,14,132,49.489406480512116,4476
3,139,171,49.480687543109525,2499
5,176,0,49.46500067226589,124
4,115,96,49.4081248541479,56
4,120,90,49.28656217776006,1897
2,14,32,49.140499999397434,3919
3,111,122,49.01531244459329,2739
1,12,29,48.9746561688371,1244
3,111,81,48.95990642832476,6364
1,0,147,48.92481191933621,68
3,77,110,48.68775002262555,2279
4,120,100,48.66593853587983,135
4,139,171,48.57499982829904,1479
3,117,110,48.374281407901435,7264
3,108,0,48.257094878994394,631
1,79,141,48.15449995972449,4306
6,51,105,48.076560974121094,1
6,80,41,48.076560974121094,1
5,137,141,47.94624971761368,472
2,113,153,47.85362503163924,6497
1,137,90,47.82834360130073,5553
2,118,109,47.80196886173508,2364
1,155,0,47.796155117684975,29
2,136,128,47.74362496152753,429
2,135,103,47.66143730432668,1525
4,112,122,47.578125041909516,848
2,149,171,47.545187368872575,365
1,135,13,47.47934375150362,2683
3,114,151,47.42193750398292,2216
2,119,104,47.38328113744501,7576
1,27,93,47.337062706123106,258
1,14,0,47.213874994951766,980
2,117,128,47.19387549813837,163
