mode,entry_gate,exit_gate,volume,n_od_pairs
1,14,57,2331.9658110158925,447188
1,27,105,2282.5718743865727,21065
1,14,29,2212.945594278688,21407
1,112,91,1825.2862824423355,26632
1,68,10,1776.4602497863234,62067
1,18,105,1634.63268782651,49744
1,80,72,1629.487346061098,19077
1,112,96,1607.2162485613371,20196
1,80,58,1545.8459066324285,12377
1,112,100,1529.9457489645574,36820
1,68,11,1391.3964378042729,59252
1,114,99,1330.9745629443496,11742
1,80,22,1267.6177820435987,14331
1,139,132,1166.0834999853541,32567
1,9,28,1162.5211874644738,15212
1,64,43,1141.21343635011,17816
1,176,171,1092.9191534353304,3569
1,112,102,1085.4808738153079,19429
1,114,90,1054.3077790913085,51079
1,176,0,1029.7036209799116,207
1,64,42,996.2551227386575,8512
1,88,90,982.9953417730721,17133
1,9,29,922.5842490180512,5170
1,107,101,915.2418106912519,14239
1,119,90,911.895437100844,18671
1,14,63,879.657842671746,148516
1,114,128,849.5341565717827,1819
1,107,96,726.4527163908351,11477
1,139,130,715.5931247403496,1280
1,107,102,713.7624993560021,12954
1,139,171,696.6768437616265,4511
1,75,100,683.570187480931,30187
1,107,100,683.3922498365864,15441
1,50,11,654.3904376585269,9962
1,150,141,654.1361255433876,5877
1,134,100,647.3039056983544,2347
1,64,105,633.1860014938866,2109
1,139,0,622.0737162018922,686
1,113,128,608.9211556200171,1738
1,76,104,597.7634064999293,14993
1,138,131,588.8042195004382,36421
2,18,105,570.7470322346198,36890
1,114,141,558.3723433820996,6463
1,156,164,552.0797814436955,3370
2,68,10,543.3575942121097,28473
1,114,131,531.8500305489288,4100
2,80,72,527.6060608237749,17745
1,134,98,525.4946560387907,6062
1,112,131,522.1033120859065,14019
1,107,131,516.617773637583,11125
1,80,11,512.8070000009611,14661
1,135,104,509.7420637825271,13297
1,144,100,502.8400005238218,9972
1,107,93,501.93200021015946,11242
1,113,141,493.79024986264994,6975
1,76,109,489.64616198741714,9875
1,14,28,485.05671860280563,54540
4,80,58,482.62343751545995,7498
1,114,104,481.9645936350571,19404
1,60,28,475.89634411939187,4430
1,14,42,475.6894067399553,9140
1,107,128,470.63737355649937,11461
4,27,105,469.05687343142927,8332
2,14,57,461.67150032075006,271594
1,107,141,453.81918522523483,24616
1,27,81,451.64327973505715,1850
1,139,131,447.641282364144,486
1,137,141,446.3272187745315,676
2,27,105,443.53143784374697,17017
1,112,128,438.57606323761865,13722
1,79,58,412.88568687223596,1166
4,64,105,411.3106249105185,5507
1,138,141,405.4691243068082,16612
1,135,100,394.74131144967396,2494
1,111,81,393.83734324427496,6057
1,135,90,385.2469062230957,12892
1,119,104,380.2552504010964,9466
1,112,93,379.8637507915846,7142
2,80,58,378.7282194268191,13343
1,86,104,377.7694058303605,10055
1,80,63,370.610030970769,1356
2,139,152,369.7998444408586,3762
2,68,11,367.1644684110652,21087
1,135,128,362.7628117748536,365
2,64,105,357.1803122621495,20254
1,112,0,355.56447015010053,1222
1,114,95,355.55256173758244,6512
2,50,11,352.10078230459476,8135
1,60,63,351.6084368543088,41984
2,176,171,350.13884247565875,1797
1,0,164,345.00412393559236,208
1,112,141,340.34943719318835,18861
4,18,105,339.60718508594437,18622
1,50,13,339.47309375571785,7700
2,50,13,335.35962540924083,6815
1,113,131,328.17034301452804,2655
1,134,103,320.4133441276208,8845
1,107,95,320.2551559868152,6141
1,77,100,319.21468968252884,1293
4,68,11,316.8340618060902,8405
1,139,148,314.0719682385534,4546
2,64,43,308.7013739455724,12379
1,115,101,308.11487423532526,1136
1,50,10,306.241811869957,5554
1,136,131,305.5111254636722,3432
1,111,82,303.8473439867521,3425
1,136,141,303.1597195368231,2251
1,68,13,302.81437473610276,11024
1,80,10,298.394593787787,6878
1,79,22,297.4357778626145,564
1,112,98,296.21778071613517,4630
3,9,105,293.6893437813851,26945
1,135,98,291.7977810174925,2394
1,139,133,288.06834370335855,1375
1,113,102,287.38275039894506,1169
2,80,22,285.80296955157246,15199
1,117,141,285.56571822275873,2353
3,64,105,282.37118777481373,27526
1,134,104,278.13899904704886,19993
4,80,63,277.2853122865781,2279
1,107,0,277.1738448626129,694
1,73,131,276.5449061790132,2665
1,112,132,275.8090315197478,7737
1,107,91,271.09109379455913,4305
2,64,32,270.80925058719004,10848
1,119,82,269.69940698193386,1078
1,14,100,269.1208126572601,35065
1,117,90,266.8847502230783,15391
3,14,105,266.4078747343301,81473
1,19,105,265.80671833537053,6853
1,114,82,263.0625003602181,5388
1,33,105,262.78531146986643,1809
2,9,28,262.5877505429671,9353
4,9,28,261.7612497052178,3867
1,113,101,259.8406555591646,1161
1,134,90,256.95809327135794,13492
2,176,0,256.44493983499706,205
1,0,104,252.5446853195317,649
1,9,42,251.4943434970337,1611
6,60,28,251.07656328380108,69
4,14,57,250.5346854844829,71346
4,50,13,250.17937561217695,2813
2,14,63,245.38209340372123,53969
4,9,105,244.42468722630292,5712
4,80,72,243.32812392991036,7426
1,114,0,241.6930970846588,143
2,53,11,241.33074984909035,7150
1,73,128,240.80603318102658,824
2,156,164,240.6538421760779,1620
1,115,128,240.08556260779733,925
6,64,105,237.97218674886972,549
1,135,99,233.16468735202216,2642
1,9,96,232.1957501366851,945
1,134,99,228.56924929493107,1538
1,83,104,227.87837433128152,15257
1,114,151,224.75568771827966,1694
1,113,90,224.58778113429435,3639
1,114,109,224.43540661415318,19435
4,68,10,224.10656033456326,10016
1,117,128,224.0775642247172,181
2,114,99,223.94824936642544,9912
1,139,152,223.86965638613037,4178
2,80,11,223.64528129447717,30128
1,88,58,223.23566239420325,974
3,27,105,221.64246873371303,22809
1,9,102,220.75978098640917,1595
4,114,99,220.44781155284727,6444
1,75,153,218.31574970451766,43290
1,135,103,216.33084450820752,4698
1,9,100,215.4835936363088,1808
1,53,11,215.12834381341236,9379
1,20,11,212.85546860127943,4936
1,114,97,212.04362432727066,4324
6,14,28,211.03781157365302,1374
1,114,58,209.76153112616157,4497
3,14,28,207.35175075219013,158625
1,120,90,207.26840570537024,3771
2,150,141,207.1905313207535,3657
1,139,160,205.23840544796258,13676
6,64,43,204.54062566161156,49
1,107,132,204.10925032757223,5465
1,117,104,203.49481235211715,13899
1,112,151,202.7208747038967,7858
1,112,171,201.49653061298886,3691
1,75,104,201.13312516134465,5414
1,83,98,198.58943788977922,4735
1,112,101,197.66037452535238,1043
1,114,130,196.43150075350422,575
1,115,141,196.4188122174237,3044
1,114,22,195.73490611881425,51687
1,73,0,193.2097830141429,203
2,108,95,192.68053145403974,6435
2,80,28,192.29536771937273,3129
